Q1_Age,Q2_Gender,Q3_Country,Q4_Education,Q5_MonthlyIncome,Q6_HouseholdSize,Q7_EmploymentStatus,Q8_SportsCount,Q9_SportsPractised,Q10_HoursPerWeek,Q11_Competitiveness,Q12_SportsIdentity,Q13_SpendLast12Months,Q14_FreqBuyOnline,Q15_FreqBuyStore,Q16_OnlineFactorRanking,Q17_BrandsBought,Q18_MaxDeliveryWindow,Q19_BiggestFrustration,Q20_SatisfactionMultiBrand,Q21_SustainabilityImportance,Q22_CartAbandonDueSplit,Q23_WaitSinglePackage,Q24_IssueRanking,Q25_AppealSingleCart,Q26_InterestAlgoBrand,Q27_LikelihoodBundleDeals,Q28_InterestPersonalDiscount,Q29_AppealEmpathyDelivery,Q30_LikelihoodSustainScore,Q31_PrimaryDownloadDriver,Q32_DeliveryMaxAllBrands,Q33_MinDiscountSwitch,Q34_PremiumMembershipFee,Q35_InstallLikelihoodPct,Q36_RecommendNPS,Q37_EnjoyNewApps,Q38_QualityOverDiscount,Q39_ShareFitnessSocial,Q40_SustainabilityInfluence,Q41_PrimaryMotivation,Q42_FrustrationText,Q43_ChangeDeliveryText,Q44_DeviceType,Q45_CompletionTimeSec,HighIntent
34,Male,Brazil,High-school diploma / equivalent,2737.0,3,Self-employed / freelancer,1,Running/Jogging,1.5,4,4,1162.0,Rarely,Frequently,"Price,Customer reviews,Brand,Speed of delivery,Sustainability,Style,Easy returns","Decathlon,Local/Other",4–7 days,Long delivery times,5,3,No,Yes,"Split shipments,Poor tracking updates,High shipping fees,Limited eco-friendly options,Slow delivery",3,4,5,3,4,1,Flexible delivery,2–3 days,15,198.0,100.0,10,2,4,3,4,Stress relief / mental health,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,385,1
29,Male,Australia,Bachelor’s degree,8878.0,2,Full-time employee,2,"Basketball,Cycling",2.7,5,4,4701.0,Occasionally,Never,"Price,Sustainability,Easy returns,Brand,Customer reviews,Speed of delivery,Style","Lululemon,Adidas",More than 2 weeks,Long delivery times,3,5,Yes,Yes,"High shipping fees,Split shipments,Slow delivery,Poor tracking updates,Limited eco-friendly options",3,2,5,5,4,3,Single-cart checkout,4–7 days,20,61.0,100.0,9,5,2,5,4,Overall health,Sizing charts are confusing.,Offer faster standard shipping.,Smartphone,135,1
35,Female,US,Master’s degree,4522.0,4,Student,3,"Swimming,Cycling,Basketball",9.3,3,3,19948.0,Occasionally,Occasionally,"Price,Easy returns,Brand,Speed of delivery,Sustainability,Customer reviews,Style","Under Armour,Local/Other,Nike",4–7 days,High prices,2,5,Yes,Yes,"Split shipments,Slow delivery,High shipping fees,Poor tracking updates,Limited eco-friendly options",3,4,5,4,3,5,Flexible delivery,4–7 days,30+,44.0,100.0,8,1,4,4,5,Overall health,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,383,1
42,Female,India,High-school diploma / equivalent,5058.0,4,Full-time employee,3,"Football/Soccer,Swimming,Gym/Fitness",11.3,3,4,3733.0,Occasionally,Occasionally,"Brand,Sustainability,Speed of delivery,Customer reviews,Price,Easy returns,Style",Nike,2–3 days,High prices,5,2,No,Yes,"High shipping fees,Poor tracking updates,Slow delivery,Split shipments,Limited eco-friendly options",5,3,4,4,2,5,Flexible delivery,1–2 weeks,15,47.0,100.0,9,5,4,5,5,Overall health,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,166,1
28,Male,Germany,Master’s degree,3747.0,3,Full-time employee,3,"Cycling,Basketball,Yoga/Pilates",9.8,3,2,16317.0,Frequently,Rarely,"Sustainability,Price,Speed of delivery,Style,Easy returns,Customer reviews,Brand","Under Armour,Lululemon",2–3 days,Lack of sustainability info,3,3,Yes,No,"Slow delivery,High shipping fees,Split shipments,Limited eco-friendly options,Poor tracking updates",5,5,5,4,2,2,Personalised offers & discounts,4–7 days,25,19.0,100.0,10,3,5,4,5,Competition / performance,Sizing charts are confusing.,Offer faster standard shipping.,Laptop or desktop computer,293,1
28,Female,Germany,Bachelor’s degree,4292.0,4,Full-time employee,2,"Running/Jogging,Gym/Fitness",9.5,5,5,2234.0,Occasionally,Frequently,"Speed of delivery,Easy returns,Price,Sustainability,Brand,Style,Customer reviews",Nike,2–3 days,Limited sizing,3,1,No,Yes,"Slow delivery,High shipping fees,Split shipments,Poor tracking updates,Limited eco-friendly options",4,4,2,1,4,5,Personalised offers & discounts,4–7 days,25,79.0,100.0,10,4,4,3,4,Overall health,Shipping costs are high.,Make packaging eco-friendly.,Smartphone,379,1
43,Male,US,Bachelor’s degree,9795.0,3,Part-time employee,1,Gym/Fitness,3.6,2,3,681.0,Occasionally,Rarely,"Customer reviews,Brand,Sustainability,Speed of delivery,Price,Easy returns,Style","Lululemon,Under Armour,Decathlon",2–3 days,Long delivery times,3,3,Yes,Yes,"Split shipments,Limited eco-friendly options,High shipping fees,Slow delivery,Poor tracking updates",5,3,4,5,3,5,Product sustainability information,1–2 weeks,15,68.0,100.0,10,4,3,5,4,Overall health,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,211,1
36,Female,France,High-school diploma / equivalent,1926.0,4,Full-time employee,3,"Swimming,Yoga/Pilates,Cycling",11.8,3,2,3013.0,Rarely,Occasionally,"Price,Speed of delivery,Sustainability,Easy returns,Customer reviews,Brand,Style",Adidas,4–7 days,Lack of sustainability info,3,4,Yes,Maybe,"High shipping fees,Split shipments,Limited eco-friendly options,Slow delivery,Poor tracking updates",4,3,3,4,5,3,Single-cart checkout,1–2 weeks,25,43.0,75.0,9,3,4,3,3,Competition / performance,Sizing charts are confusing.,Make packaging eco-friendly.,Smartphone,136,1
26,Female,UAE,High-school diploma / equivalent,7863.0,6,Full-time employee,3,"Basketball,Swimming,Yoga/Pilates",13.3,2,1,2660.0,Rarely,Frequently,"Price,Style,Customer reviews,Sustainability,Speed of delivery,Brand,Easy returns","Decathlon,Under Armour,Adidas",1 day,Other,3,2,No,Yes,"Split shipments,Limited eco-friendly options,Slow delivery,High shipping fees,Poor tracking updates",4,4,4,4,4,4,Single-cart checkout,No preference,20,54.0,100.0,10,1,4,4,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Laptop or desktop computer,457,1
34,Female,UAE,High-school diploma / equivalent,5851.0,3,Student,1,Running/Jogging,4.6,2,2,842.0,Frequently,Occasionally,"Price,Speed of delivery,Sustainability,Brand,Customer reviews,Easy returns,Style",Local/Other,1–2 weeks,Limited sizing,4,2,Yes,Yes,"Poor tracking updates,Slow delivery,Split shipments,High shipping fees,Limited eco-friendly options",4,4,5,5,4,4,Flexible delivery,4–7 days,5,10.0,86.6,8,3,4,5,3,Overall health,Shipping costs are high.,Offer faster standard shipping.,Smartphone,364,1
